Text,Class
Pls putRELEASE IN PARTB6H <hrod17@clintonemail.com>Friday July 31 2009 3:25 PM'JilotyLC@state.gov'; 'Russorv@state.gov'Fw: Bravalon call list and do letter to her wishing her well etc. B6,0
Not sure about SRAP. I'll forward it on. Hope the trip is going well.Jm,0
"SOLICITING FOR A BUSINESS VENTURE AND PARTNESHIP.DEAR SIR,I AM THE SON OF THE LATE PRESIDENT OF THE FEDERAL REPUBLIC OF ZAIRE, =PRESIDENT MOBUTU SESE SEKO,(NOW REPUBLIC OF CONGO UNDER THE LEADERSHIP OF THE =SON OF MR. LAURENT KABILA) I PRESUME YOU ARE AWARE THERE IS A FINANCIAL =DISPUTE BETWEEN MY FAMILY (THE MOBUTU=92S) AND THE PRESENT CIVILIAN =GOVERNMENT. THIS IS BASED ON WHAT THEY BELIEVE AS BAD AND CORRUPTS GOVERNANCE =ON MY LATE FATHER=92S PART.  MAY HIS SOUL REST IN PEACE.PRESENTLY, WE CANNOT DO BUSINESS HERE IN HOLLAND AND MANY OTHER COUNTRIES OF =THE WORLD BECAUSE OF THE NEW FRIENDLY RELATIONSHIP BETWEEN THE PRESENT =GOVERNMENT AND THE WESTERN WORLD AS YOU MIGHT HAVE HEARD HOW A LOT OF MY =FATHER=92S BANK ACCOUNT IN SWITZERLAND NORTH AMERICAN HAVE SINCE BEEN FROZEN.=FOLLOWING THE ABOVE MENTION REASONS, I AM SOLICITING FOR YOUR HUMBLE AND =CONFIDENTIAL ASSISTANCE TO TAKE CUSTODY OF TEN MILLION FIVE HUNDRED THOUSAND =UNITED STATES DOLLARS (US$10.5) AND (5KG OF DIAMOND) ALSO TO FRONT FOR ME IN =THE AREAS OF BUSINESS YOU DESIRE PROFITABLE. THIS SUM OF US$10.5M AND DIAMOND =HAS SECRETLY BEEN DEPOSITED INTO A CONFIDENTIAL SECURITY COMPANY, WHERE IT =CAN EASILY BEEN WITHDRAWN OR PAID TO A RECOMMENDED BENEFICIARY.THIS FUNDS WILL BE RELEASED TO YOU BY THE SECURITY COMPANY BASED ON MY =RECOMMENDATIONS ON THAT NOTE, YOU WILL BE PRESENTED AS MY PARTNER WHO WILL BE =FRONTING FOR ME AND MY FAMILY IN ANY SUBSEQUENT VENTURES.TO SHOW MY PREPAREDNESS AND THE APPRECIATION TO CONDUCT THIS BUSINESS WITH =YOU I SHALL GIVE YOU 20% OF THE FUNDS AND 20% COMMISSION ON ANY PROFIT =REALIZABLE IN THE PROCESS OF INVESTMENT OF THIS FUNDS FOR YOUR ROLE IN THIS =BUSINESS,WE ARE WILLING TO MAKE AVAILABLE 5% FOR ANY EVENTUAL EXPENSE THAT =MAY OCCUR IN THE PROCESS OF THIS TRANSACTION.PLEASE, I NEED YOUR ENTIRE SUPPORT AND CO-OPERATION FOR THE SUCCESS OF THIS =BUSINESS VENTURES, YOUR UTMOST CONFIDENTIALITY AND SECRECY IS HIGHLY =REQUIRED, DUE TO MY FAMILY PRESENT PREDICAMENT.I SINCERELY WILL APPRECIATE YOUR ACKNOWLEDGEMENT AS SOON AS POSSIBLE. YOU CAN =MAIL ME ON THIS E-MAIL:nzangamobutu@myself.comBest regards,MR. NZANGA MOBUTU.   --04f5036b-d7fe-4bfc-a801-3fa742ad9a6b--",1
" Dear Sir/Madam,Compliments of the season. It is indeed my pleasure to write to you thisletter, which I believe you will welcome it . Mr Edward Govou, the manage=r,creditand foreign bills of Eco Bank du Benin-Rep.I am writing in respect of a foreign customer of my bank who perished Eyg=ptianAir Flight with the whole passengers aboard on 31st oct 1999, Since thedemise of this our customer,I personally as watched with keen interest to=see the next of kin but all has proved abortive as no one has come to cla=imhis fund of $4.250m[Four Million Two Hundred and Fifthy Thousand Dollars]in a dormant account which has been with my branch for a very long time.=You are advice to receive this fund in to your bank account since there no person to aply to receive this fund as the next of kin.this transacti=onis LEGAL AND LAGITIMATE.There after I and my collegues will visit your co=untryfor disbursment.All the important document in this will be send to you to=proved.On this note, I decided to contact you to be the next of kin as no one ha=scome up as his relation and the paying department has been look for theor=iginalnext of kin to the deceased that died. And the country law here does notallow such money to stay more than Five years, for the money will be reca=lledto the gvernment treasury as unclaimed after this period.Upon the receipt of the required bellow of your information response, Iwill send to you the application form in which you fill and aply for therelease the to you,and the bank's contact information regard to this tran=saction.I will not fail to bring to your notice that this is 100% free and you sh=ouldnot entertain any fear as all modalities for fund transfer can be finaliz=ed within six banking days, after you apply to the bank as a original relat=ionto the deceased.There after I will fly down in your country for disbursment according tothe percentages in claiming of the deposits and its transfer to your posi=tion,we shall share the funds in the mutual understanding as we agreed .When you receive this letter, kindly send me an e- mail signifying yourgood decision TO RECEIVE THIS FUND PEACEFULY. And also forward to me therequied information as to be the original bebeficiary to transfer the fun=din your name and favour .YOUR FULL NAME.YOUR ADDRESS.YOUR BANKING DETAIL INFORMATION WERE YOU WANT THIS FUND TO BE TRASFERED.YOUR DIRECT MOBILE PHONE/FAX NUMBER FOR COMMUNICATION .Upon receive all these I forward your information required to the payingdepartment enable them recorganise you as well i will send to you a textof application inwhich you will fill and apply for the immediately realse=dof this fund as original NEXT OF KIN.Also I will like you to treat thistransaction with the utmost secrecy because of my position in this bank.oping for a very successful business relationship and benefit with you.ur=gentlycontact me through the above vai email or at bgovou@hotmail.comRespectfully submitted,>From Mr Edward Govou.------------------------------------------Use o melhor sistema de busca da InternetRadar UOL - http://www.radaruol.com.br",1
"Dear Bill and TomI'm sorry that I cannot be on the Hill today as we had long planned but very grateful that you both will be. TheDepartment and I appreciate your leadership everyday.So I'll be nursing my cracked head and cheering you on as you ""remain calm and carry on""!Happy Holidays--HU.S. Department of StateCase No. F-2015-04841Doc No. C05739849Date: 05/13/2015STATE DEPT. - PRODUCED TO HOUSE SELECT BENGHAZI COMM.SUBJECT TO AGREEMENT ON SENSITIVE INFORMATION & REDACTIONS. NO FOIA WAIVER. STATE-SCB0045832",0
"I am Dr. Usman ali, I am a former specialAdviser on Petroleum matters to the late Head of StateOf Nigeria Gen. Sani Abacha. Because of my strategicPosition in the former Government and also being aClose confidant of the late Head of State.I was able to acquire personally the sum of$12,500,000.00 USD (Twelve Million, Five HundredThousand United States Dollars only) presently lodgedIn Security Company inform of Gold Bars in a securitycompany here in Nigeria. I did not want the managementof the Security Company to know the content of theconsignments; therefore I registered the content ofthe consignments as Gold Bars. Now, the securitycompany believes that what I deposited with them wasGold BarsI made this money largely through ""CONSULTANCY FEE""And ""Good Faith Fees"" paid by foreign Oil companiesPrior to Allocation of Deep Water Oil Blocs and otherLifting/prospecting Rights (Nigeria is the 6th largestProducer/Exporter of Crude Petroleum in the World.As you are probably aware Nigeria is prone to MilitaryCoups and the resultant Political/Economic Instabilityhas fueled hyper Inflation, amongst other problems.I have therefore resolved to invest my money abroad,preferable in Real Estate Properties and Importationof Goods from your country for safety and optimumreturns on Investment.However, straight transfer of this money into a bankabroad will present two major problems one, the taxincidence will be too high, as much as 60% of thismoney will go up in Taxes, Levies, Penalties etc. as aresult of Government deliberate restrictions on flightof capital Abroad. And also been accused of moneylaundering and terrorism, The solution is to Courier this moneycash abroad in form of consignment, through Courierservice Company here in Nigeria inConjunction with an embassy here in Nigeria, the moneywill be packed in a ""Diplomatic Bag/Carton"" taggedDiplomatic luggage that will be address to you.This system is secret and the money is thereforeUntraceable. It is system used by most top Governmentofficials to remove their fortunes to safety abroad.I have therefore concluded every arrangements with aCourier Company in Nigeria to Courier this moneyabroad using the courtesy and safety of DiplomaticBag. All I now need is an honest partner who canreceive the money on my behalf and help me to investas aforementioned. There is absolutely no riskinvolved in this transaction as the money will bedelivered to you in United States Dollars Bills.If you are interested in assisting me, please send tome by email immediately your preferred contact addresswhere this money will be delivered to you, upondelivery, you are to lodge this money in a bankaccount and contact me for necessary arrangements forthe investment.For your help and assistance in this deal, you willreceive 15% of this money in cash or Equity if youwish to join the proposed company.I have notified the Security Company where I depositedthe consignments that contained the fund, that I ammoving the consignment abroad and the security companyhas since been waiting for my authority for theconsignment to leave my country and move to abroad.So if you know that you will use this fund honestly asI have instructed.and the details will be given to you on how you willbe able to receive the fund in your country throughthe security company. You should also forward to meyour telephone and fax number for easy communicationand to fax you the documents concerning theconsignments.Your prompt response will be highly appreciated.Best regardsDr. Usman ali",1
The letter is good to go w me. HRC.,0
Yes -- Stephens is in DC all day we can work with Ops on the call. I don't think we need to push the Angolans more than15 minutes so should be fine. Should I move forward and adjust?,0
Yes lona has it on list,0
"Required information.1) Your full name and address2) Your private phone, mobile and fax number where you can always be reach. As Soon as your information is been received by my attorney, he will also issue a Letter of Authority and power of attorney on this regard, making you the original beneficiary of this fund with other related documents. My happiness is that I lived a life worthy of emulation. Please always be prayerfully all through your life.Any delay in your reply will give me room in sourcing for a non-governmental, a non-religious, and or a non-profit organization better still an individual for this same purpose. Please assure me that you will act just as I have stated herein. Hope to hear from you soon and God bless you and members of your family.Mrs. Elena Owen. Benefactor ___________________________________________________________________________Mail sent from WebMail service at PHP-Nuke Powered Site- http://yoursite.com",1
Burns this is going to happen. We are committed to herwork and other docs like her. Lyn heard rumors about acompetitive hospital etc. We will work this out.HRC did the event at her hospital after all.,0
"DEAR SIR/MADAM,MY NAME IS ENGINEER. TONY EDEM THE DIRECTOR GENERAL WITH THE MINISTRY OF WO=RKS AND HOUSING HERE IN NIGERIA. I WISH TO EXTENT THIS BUSINESS RELATIONSHI=P TO YOU WITH THE HOPE THAT YOU WILL ACCEPT IT. IN THE YEAR 1999, MY MINIST=RY AWARDED A CONTRACT TO A FOREIGN FIRM FOR BUILDING OF 620 HOUSING ESTATE =AND CONSTRUCTION OF A STADIUM IN ABUJA THE NEW CAPITAL TERRITERY MEANT FOR =THE CONCLUDED ALL AFRICAN GAMES WHICH NIGERIA HAVE HOSTED BY OCTOBER THIS Y=EAR.DURING THE TIME OF AWARDING THIS CONTRACT, MYSELF AND SOME TOP MEMBERS OF C=ONTRACT AWARDING COMMITTEE AGREED AND OVERINVOICED THE VOLUM OF THE CONTRAC=T WITH ADDITIONAL SUM OF $21 MILLION U.S.A DOLLARS, WHICH WAS MEANT TO TAKE= CARE OF US.AS AT LAST YEAR, THE CONTRACTOR HAD COMPLETED THE PROJECT AND F=ULLY PAID.FOR NOW THE OVERINVOICED SUM OF $21 MILLION U.S. DOLLARS IS WITH THE CENTRA=L BANK OF NIGERIA. AND MYSELF AND PARTNERS HAVE ALSO COMPLETED ARRANGMENT W=ITH TOP OFFICIAL OF THE BANK ON HOW TO RELEASE THIS MONEY, BUT FOR THE FACT= THAT THE ORIGINAL CONTRACTOR WAS A FOREIGNER WE ARE NOW LOOKING FOR A FORE=IGN PARTNER WHO WILL ASSIST US BY GIVING US ANY BANK ACCOUNT OF HIS/HER CHO=ICE TO ENABLE US ACCOMPLESH THIS BUSINESS.BASED ON THIS IAM NOW SOLICITING FOR YOUR KIND HELP TO GET THIS MUTUAL BUSI=NESS GO THROUGH.WHAT I NEED FROM YOU IS AN ACCOUNT WHERE THIS MONEY WILL BE= TRANSFERED INTO. EVERY ARRANGMENT HAVE BEEN PUT IN PLACE TO MAKE SURE THE =BUSINESS RUNS SMOOTHLY. TO THIS END, THE BUSINESS IS 100% RISK FREE. IN YOU=R ACCEPTANCEREPLY, WE SHALL NEGOTIATE THE PERCENTAGE THAT WILL BE GIVEN TO YOU FOR ASSI=STING US.I LOOK FORWARD FOR YOUR KIND AND IMMEDIATE RESPONSE.",1
Madame Secretary:Thank you for reaching out to Secretary Solis and convincing her to join the Verification Commission. She and RicardoLagos will make for a very high profile and effective international component of the Commission.We will meet with her this morning at 10 am to brief her for Tuesday's journey to Honduras. At this point it appears wehave a military aircraft available. The plan is for the U.S. Delegation to depart D.C. stop in Miami to pick up RicardoLagos and arrive in Tegucigalpa together. We think this will send a powerful message to Hondurans and leave no doubtabout our commitment to seeing this process through to a successful conclusion.You should be aware that Ambassador Hugo Llorens is under public assault. The Wall Street Journal dedicates itsAmerica's column this morning to attacking him and calling for his removal. Last Friday Representative Connie Mack didthe same. This chorus will grow as the extent of our accomplishment is understood. Llorens is a tough stalwart guy. Heand his Mission have held firm during this crisis. A call from you would be a big boost.Finally we will hold an IPC today to identify further steps. We will keep you up to date on these steps and identifyfurther opportunities for your engagement.I want to thank you for your leadership and support during this long crisis. Your willingness to engage at key momentsand take risks at the right time have propelled us much further than anyone expected. Your diplomacy prevented adebilitating civil conflict in Honduras that would have destabilized Central America and undermined two decades of ourefforts. We now have a big opportunity in front of us and for that we are grateful to you.RegardsTom,0
Fyi,0
"Dear Sir or Madam:We are keenly interested in setting up a new factory to produce 120,000 ERW oil casings per year to meet the big market of Shengli Oilfied. Since we lack some starting-up capital, we are seeking for investments. I will give you a brief introduction to the project as follow:I. Background:Shengli Oilfield, the second largest oilfield in China and the leading company of Sinopec Corp. (http://www.sinopec.com), as well as neighboring oilfields as Dagang Oilfield, Central Plain Oilfield and Jiangsu Oilfield are potential market of ERW oil casing. It is expected that the total oil casing needed in the above area is about 400,000 tons, including 260,000 tons in Sinopec and 150,000 tons in Shengli Oilfield. To meet the great need, we plan to set up a joint venture to produce 120,000 tons of ERW casings per year in Shengli Oilfield.  With good management and market outlets, we believe that this JV also has the potential to expand beyond China to other nations. II. About usShengli Oilfield Engineering Machinery Factory is one of sub-companies of Shengli Oilfield Co., Ltd, with total assets of 267 million yuan, net assets of 170 million yuan and 2462 staff. The factory mainly produces oilfield special equipment such as beam unit, Spiral-seam submerged-arc weldedsteel pipe, sucker rod, line pipe, casing, tubing, plastic compound pipe etc. It produces 200,000 tons of line pipes, 1 million meters of strengthened plastic compound pipes, 500 beam units, 2.5 million meters of sucker rods, 12,000 tons of PP gas pipes and 50,000 tons of oil tubings yearly, and has become important pipe base in Shandong and Shengli Oilfield. Its products have entering many areas as Shengli Oilfield, Daqing Oilfield, Liaohe Oilfield, Dagang Oilfield and so on. In 2002, the sale income amounted to over 600 million yuan.The Factory holds Quality accreditations as ISO9001, API and so on.III. Content of the projectIt is planned to introduce Japanese technology and equipment to set up one production line with range of casing diameter from��114 to ��339.7 and produce 120,000 tons of ERW casings and delivery pipes per year.IV. Product specificationsFor Casing: grade of steel are J55 and N80, specification ranges from ��114 to ��339.7For delivery: grade of steel are X52��X60��X70, specification ranges from ��114 to ��339.7.V. Economic AnalysisThe total investment in this project is 142.41 million yuan. After the completion of the project, it is estimated that the internal financial rate of return before paying tax is 24.9 percent with a payback period of 5.6 years, and the internal rate of return after paying tax is 21.8 percent with a payback period of 5.9 years.The break-even point of the project is 46.95 percent, which means the project can keep balance if the annual output amount to 42,000 tons.VI. Plans for cooperationWe have set up a joint venture with Japan's Marubeni in the early of the year, with a registered capital of 57 million yuan. The capital structure is as follow:a. Shengli Oilfield Bureau of Administration          19.95 million yuan   35��b. Shengli Oilfield Engineering Machinery Facotry     17.10 million yuan   30��c. Dongying District State Assets Operation & Management Co., Ltd 5.70million yuan 10��d. Marubeni Engineering Technology Co., Ltd           14.25 million yuan   25��To meet our capital need for this project, we are now planned to increase our registered capital to 118.88 million yuan. Taking our added investment into consideration, we need another 34.68 million yuan to get the plan executed. So we are seeking a new joint venture partner who'd like to join this project and meet our capital requirement.We would like to exchange the information with the manufacturers and suppliers who are interested in this project and have discussion on raw material supply as well as jointly investing the factory establishment. And we hope we could have good cooperation in future.For additional information regarding this project, please feel free to contact us.Looking forward to your prompt reply.Sincerely yours, Tony LeungProject officer",1
8:00 am Call Iv/ Israeli PM Netanyahu8:10 am Private Residence8:15 am DEPART Private ResidenceEn route State Department8:25 am ARRIVE State Department8:25 am PRESIDENTIAL DAILY BRIEFING8:30 am Secretary's Office8:30 am DAILY SMALL STAFF MEETING8:45 am Secretary's Office8:45 am DAILY SENIOR STAFF MEETING9:15 am Secretary's Conference Room9:15 am OFFICE TIME11:15 am Secretary's Office11:20 am DEPART State DepartmentEn route Andrews Air Force Base11:50 am ARRIVE Andrews Air Force Base12:00 pm DEPART Andrews Air Force BaseEn route White Plains Westchester County Airport1:00 pm ARRIVE White Plains Westchester County Airport1:10 pm DEPART Westchester County AirportEn route Private Residence1:25 pm ARRIVE Private Residence###,0
Abedin Huma <AbedinH@state.gov>Wednesday July 15 2009 1:44 PMRe: ArtWill be off campus at meetingBut you should definately come I think they have found some good things.,0
See NIMills Cheryl D <MillsCD@state.gov>Saturday December 112010 1:36 PMFw: S is calling Leahy today - thx for all the help; advise if a diff no for him today,0
Here is Draft,0
Ok,0
"THIS IS AN OFFICIAL NOTIFICATION OF FUNDS DEPOSITED IN YOUR NAME AND IT IS N=OTA SALES SOLICITATION.I am professor Charles.c. Soludo governor, central bank of Nigeria ( =20CBN ). Thementioned bank is known for  the safekeeping of special and valuable package=sand baggage in trust for reputable clients that are honest and trustworthy.We work in collaboration with top firms and Governments of various =20countries aswe have earned a name as a service whose hallmarks in reliability andconfidentiality are revered. International missions and Embassies of the wor=ldhave used our services to satisfaction.A benefactor whose identity can not be disclosed because of the NonCircumvention and Non Disclosure Agreement that was signed with the saidbenefactor when the funds were being deposited in the Central Bank of Nigeri=a,made you the beneficiary of a package containing some amount of money andstated clearly that you should only be contacted when the time signed =20for it tobe in our care elapses and the time has already elapsed that is why you arebeing contacted.The Non Circumvention and Non Disclosure Agreement signed with the benefacto=rmandates us to fully divulge and disclose the benefactor's identity 18 month=safter you, the beneficiary has received the funds.The funds totals $5.000,000 (Five Million Dollars) i shall reconfirm to youare fully free of any liens, or encumbrances and are clean, clear and non-criminal origin and are available in the form of CASH.You are hereby advised to reconfirm your Full Contact Information forverification with information contained in our computer database as well asother relevant information in the format stated below so that the funds woul=dbe arranged by the deplomats who will be moving the funds from the =20Central Bankof Nigeria to be brought to you.I would also inform you clearly here that you must procure an affidavit ofclaim of ownership before the  comensment of the diplomat bringing the =20funds toyou, this you will be informed as soon as your information is received.The  Diplomats shall accompany you to your bank (if you want them to) todeposit the funds in your name and submit all documentations of proof of theorigin of the funds in other to exonerate you from any form of investigation=sor interrogation and to authenticate the fact that the funds are clean and h=asno links whatsoever with either drugs or terrorism.The Requested Information is to ensure that no mistake or error is made and =itshould be forwardedin the manner stated below:",1
